ticker;volume;volume_weighted_avg_price;open_price;close_price;highest_price;lowest_price;datetime;transactions_number
AAPL;34277.0;195.9193;196.32;195.77;196.49;195.5;2023-12-18 09:00:00;920
AAPL;14606.0;196.0143;195.8;196.05;196.2;195.8;2023-12-18 10:00:00;419
AAPL;17672.0;196.1143;196.07;196.21;196.31;195.95;2023-12-18 11:00:00;398
TEST;17672.0;196.1143;196.07;196.21;196.31;195.95;2023-12-18 14:00:00;398
