ticker;volume;volume_weighted_avg_price;open_price;close_price;highest_price;lowest_price;timestamp;transactions_number
AAPL;17024.0;189.289;189.6;189.28;189.6;189.2;2023-11-27 09:00:00;386
AAPL;5547.0;189.4426;189.27;189.51;189.51;189.27;2023-11-27 10:00:00;156
AAPL;6603.0;189.4319;189.55;189.4;189.55;189.38;2023-11-27 11:00:00;174
AAPL;31703.0;189.5858;189.4;189.63;189.7;189.39;2023-11-27 12:00:00;708
AAPL;137893.0;189.7814;189.67;189.61;190.07;188.9;2023-11-27 13:00:00;3262
AAPL;5220690.0;189.5324;189.6634;189.25;190.39;188.9;2023-11-27 14:00:00;94079
AAPL;4968404.0;189.3572;189.25;189.335;189.91;189.01;2023-11-27 15:00:00;172136
AAPL;4747727.0;189.7041;189.33;190.27;190.42;189.045;2023-11-27 16:00:00;53715
AAPL;3095502.0;190.359;190.27;190.45;190.51;190.205;2023-11-27 17:00:00;36180
AAPL;3306434.0;190.3467;190.459;190.12;190.67;190.02;2023-11-27 18:00:00;39815
AAPL;2710243.0;189.9214;190.13;189.885;190.19;189.52;2023-11-27 19:00:00;34968
AAPL;6265348.0;189.8227;189.885;189.78;190.06;189.605;2023-11-27 20:00:00;67025
AAPL;3225713.0;189.8017;189.79;189.95;190.14;189.79;2023-11-27 21:00:00;2378
AMZN;21445.0;146.8889;146.9;146.65;147.1;146.65;2023-11-27 09:00:00;455
AMZN;18546.0;147.1114;146.75;147.45;147.45;146.75;2023-11-27 10:00:00;313
AMZN;26294.0;147.565;147.48;147.51;147.81;147.4;2023-11-27 11:00:00;541
AMZN;143954.0;147.7372;147.49;147.87;147.95;147.44;2023-11-27 12:00:00;2146
AMZN;520844.0;148.0227;147.56;148.15;148.49;146.17;2023-11-27 13:00:00;6771
AMZN;11115654.0;148.0294;148.17;148.9;148.97;146.88;2023-11-27 14:00:00;109841
AMZN;8691831.0;148.855;148.91;148.7399;149.26;148.4116;2023-11-27 15:00:00;100768
AMZN;6361147.0;148.4533;148.73;148.7928;148.8761;147.8;2023-11-27 16:00:00;61423
AMZN;3540082.0;148.8094;148.82;148.898;149.01;148.6;2023-11-27 17:00:00;38020
AMZN;2866765.0;148.8841;148.8964;148.755;149.0001;148.68;2023-11-27 18:00:00;34261
AMZN;3790552.0;148.3808;148.765;148.345;148.865;147.97;2023-11-27 19:00:00;39560
AMZN;6985108.0;148.0983;148.345;147.77;148.49;147.68;2023-11-27 20:00:00;65865
AMZN;3095782.0;147.7236;147.73;147.629;147.78;147.27;2023-11-27 21:00:00;2345
AMZN;56541.0;147.6705;147.6;147.6987;147.73;147.56;2023-11-27 22:00:00;636
AMZN;44131.0;147.6856;147.68;147.73;147.755;147.61;2023-11-27 23:00:00;574
AMZN;58168.0;147.6915;147.7;147.74;147.74;147.61;2023-11-28 00:00:00;586
TSLA;139289.0;236.0875;235.49;235.15;237.0;235.1;2023-11-27 09:00:00;3616
TSLA;40125.0;235.8547;235.33;236.18;236.22;235.33;2023-11-27 10:00:00;1172
TSLA;65086.0;235.5706;236.2;235.37;236.2;235.15;2023-11-27 11:00:00;1758
TSLA;287276.0;236.3151;235.57;236.56;236.91;235.5;2023-11-27 12:00:00;5683
TSLA;880529.0;236.8088;235.63;236.7;237.74;233.71;2023-11-27 13:00:00;15326
TSLA;20846669.0;234.0523;236.68;234.14;237.8;232.1;2023-11-27 14:00:00;237479
TSLA;22978884.0;234.8352;234.17;235.39;236.3452;233.0;2023-11-27 15:00:00;323739
TSLA;13680499.0;234.4687;235.3646;235.35;235.49;233.57;2023-11-27 16:00:00;115700
TSLA;14250180.0;236.7135;235.3449;237.4659;237.75;235.1;2023-11-27 17:00:00;124465
TSLA;12738639.0;237.4218;237.46;237.2707;238.33;233.9825;2023-11-27 18:00:00;120807
TSLA;11685222.0;236.9249;237.29;236.2504;237.95;235.72;2023-11-27 19:00:00;98681
TSLA;11987343.0;236.4981;236.23;236.11;237.1788;235.75;2023-11-27 20:00:00;105475
TSLA;601353.0;236.0606;236.08;236.11;236.2;235.84;2023-11-27 21:00:00;3364
TSLA;99435.0;236.2183;236.06;236.2756;236.47;236.06;2023-11-27 22:00:00;1616
TSLA;52056.0;236.1532;236.2785;236.18;236.2785;236.0218;2023-11-27 23:00:00;1054
TSLA;124329.0;236.0972;236.19;236.2;236.25;235.95;2023-11-28 00:00:00;1803
BABA;18735.0;78.2953;78.46;78.24;78.53;78.2;2023-11-27 09:00:00;281
BABA;5779.0;78.2954;78.24;78.34;78.34;78.24;2023-11-27 10:00:00;115
BABA;14675.0;78.2737;78.34;78.235;78.34;78.22;2023-11-27 11:00:00;111
BABA;28205.0;78.2417;78.29;78.23;78.32;78.2;2023-11-27 12:00:00;290
